price,address,city,state,zipcode,beds,baths,floor_size,year_built,Property_Type,HOA,Lot,PricePerSqFt,Description,remodel_year,Schools,No. of Nearby Schools
699900,"22867 Teakwood St,", Hayward,CA,94541,3,2,"1,526",1951,Single Family,None,"5,401 sqft",$459,"A single family home in center location of City of Hayward. Close to school, Smart & Final, Home Depot, Restaurants, Target, Skywest golf course and easy access to freeway. 3 bedrooms 2 baths with 2 large bonus rooms. Nice backyard and much more!Read more",1951,"'Longwood Elementary School', 'Anthony W. Ochoa Middle School', 'Mount Eden High School'",3
150000,"53 De Vaca Way,", Hayward,CA,94544,2,2,"1,334",None,Mobile / Manufactured,None,None,$112,None,None,"'Treeview Elementary', 'Cesar Chavez Middle School', 'Tennyson High School'",3
579000,"21228 Gary Dr APT 314,", Hayward,CA,94546,3,2,"1,263",1982,Condo,$415/month,None,$458,"This beautifully remodeled three bedroom, two bath condo nestled in the Hayward Hills is move-in ready. The home offers many new upgrades including newly installed appliances, carpet, fresh paint, and remodeled bathrooms. This second-level unit features a spacious layout with extra-large bedrooms, recessed lighting and a wood-burning fireplace with gas starter, in-unit laundry, a private scenic balcony, and a one-car garage. Enjoy condo living at its finest with all the amenities of this highly sought out gated community, centrally located in the Hayward Hills. Amenities include 5 Pools, 2 Spas, Gym, Tennis Courts and Club House. Located Near The 238/580/880 Interchanges For Easy Commuting. Close To Castro Valley and Hayward Shops and Schools, Restaurants, Eden Hospital, Lake Chabot Regional Park, Walking Trails and Top-rated Schools! OPEN SUNDAY, March 1ST FROM 1:00-4:00PMRead more",1982,"'Strobridge Elementary School', 'Bret Harte Middle School', 'Hayward High School'",3
1368000,"2527 Spindrift Cir,", Hayward,CA,94545,5,3,"3,228",2005,Single Family,$35/month,"6,320 sqft",$424,"Open HouseSat, Mar 71:00 PM - 4:00 PM{""@type"":""Event"",""@context"":""http://schema.org"",""startDate"":""2020-03-07T13:00:00"",""endDate"":""2020-03-07T16:00:00"",""name"":""Open House - 1:00 PM - 4:00 PM"",""description"":""Open House"",""url"":""https://www.zillow.com/homedetails/2527-Spindrift-Cir-Hayward-CA-94545/68022860_zpid/"",""location"":{""@type"":""Place"",""@context"":""http://schema.org"",""name"":""2527 Spindrift Cir"",""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2527 Spindrift Cir"",""postalCode"":""94545"",""addressLocality"":""Hayward"",""addressRegion"":""CA""}},""image"":""https://photos.zillowstatic.com/p_h/IS333v4mg7c0zp1000000000.jpg"",""offers"":{""@type"":""Offer"",""price"":1368000,""priceCurrency"":""USD"",""availability"":""http://schema.org/InStock"",""url"":""https://www.zillow.com/homedetails/2527-Spindrift-Cir-Hayward-CA-94545/68022860_zpid/""},""performer"":""Re/Max Accord""}",2005,"'Lorin A. Eden Elementary School', 'Anthony W. Ochoa Middle School', 'Mount Eden High School'",3
1449950,"266 Carrick Cir,", Hayward,CA,94542,5,4,"4,434",2008,Single Family,$190/month,"6,516 sqft",$327,"Open HouseSun, Mar 81:00 PM - 4:00 PM{""@type"":""Event"",""@context"":""http://schema.org"",""startDate"":""2020-03-08T13:00:00"",""endDate"":""2020-03-08T16:00:00"",""name"":""Open House - 1:00 PM - 4:00 PM"",""description"":""Open House"",""url"":""https://www.zillow.com/homedetails/266-Carrick-Cir-Hayward-CA-94542/89030109_zpid/"",""location"":{""@type"":""Place"",""@context"":""http://schema.org"",""name"":""266 Carrick Cir"",""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""266 Carrick Cir"",""postalCode"":""94542"",""addressLocality"":""Hayward"",""addressRegion"":""CA""}},""image"":""https://photos.zillowstatic.com/p_h/IS764tj056b8zh1000000000.jpg"",""offers"":{""@type"":""Offer"",""price"":1449950,""priceCurrency"":""USD"",""availability"":""http://schema.org/InStock"",""url"":""https://www.zillow.com/homedetails/266-Carrick-Cir-Hayward-CA-94542/89030109_zpid/""},""performer"":""Coldwell Banker Realty - Cupertino""}",2008,"'Stonebrae Elementary School', 'Bret Harte Middle School', 'Hayward High School'",3
205000,"29252 Harpoon Way,", Hayward,CA,94544,2,2,"1,440",None,Mobile / Manufactured,None,None,$142,"IMMACULATE DOUBLE WIDE. lAMINATED FLOORS + WALL TO WALL CARPET. BUILT IN HUTCH. DUAL PANE WINDOWS. INTERIOR PAINTED. WASHER, DRYER AND REFRIGERATOR STAY. UPRIGHT FREEZER MAY STAY. WET BAR IN FAMILY ROOM. BRICK PLANTER BOX AROUND LARGE PATIO.Read more",None,"'Palma Ceia Elementary School', 'Anthony W. Ochoa Middle School', 'Mount Eden High School'",3
695486,"24816 Townsend Ave,", Hayward,CA,94544,3,2,"1,176",1957,Single Family,None,"6,969 sqft",None,None,1958,"'Park Elementary School', 'Winton Middle School', 'Mount Eden High School'",3
239900,"1473 Avila Ct,", Hayward,CA,94544,3,2,"1,344",1994,Mobile / Manufactured,None,None,$178,None,None,"'Palma Ceia Elementary School', 'Anthony W. Ochoa Middle School', 'Mount Eden High School'",3
770000,"3322 Speros Loop,", Hayward,CA,94544,3,3,"1,938",2018,Single Family,$212/month,"1,703 sqft",$397,"Move right into this ""like new"" home built in 2018 with gorgeous, open floor plan and many upgrades. This 3-bedroom, 2.5 bath unit has plenty of natural light throughout. Spacious kitchen with granite counters, stainless appliances, large breakfast bar, gas stove and walk in pantry. Convenient downstairs TV room or office space. Additional features include recessed lighting, dual zone heating and air conditioning, balcony, roomy side yard, 2 car attached garage and solar. 10-year warranty is transferable to new buyers. Great location close to freeway access, San Mateo bridge, BART, downtown Hayward and Cal State East Bay.Read more",None,"'Park Elementary School', 'Winton Middle School', 'Mount Eden High School'",3
225000,"29222 Whalebone Way,", Hayward,CA,94544,2,2,"1,620",1980,Mobile / Manufactured,None,None,$139,"***STAY TUNED FOR MORE INFO, PICS, AND OPEN HOUSE DETAILS.***Read more",None,"'Palma Ceia Elementary School', 'Anthony W. Ochoa Middle School', 'Mount Eden High School'",3
228000,"28339 Murcia St,", Hayward,CA,94544,3,2,"1,205",2007,Mobile / Manufactured,$577/month,None,$189,None,None,"'Palma Ceia Elementary School', 'Anthony W. Ochoa Middle School', 'Mount Eden High School'",3
1300000,"3600 Star Ridge Rd,", Hayward,CA,94542,5,3,"2,625",1967,Single Family,None,1.33 acres,$495,"OPEN HOUSE SAT 2-5 P.M 3/07 RARE 1 Story Ranch Home with CITY and BAY VIEWS Ready to Move In. Electric SOLAR owned Panels. RV PARKING, Massive Stamped drive through driveway. (2) patios, Private Paved Road. An entertainment home with All REMODELED Kitchen, Lots of Cabinets, State of the Art appliances, Lots of pull outs and Quartzite counters. VAULTED wood ceilings New Laminate flooring throughout. LARGE MASTER and WALK-IN CLOSET to dream of. Master Bath and Hall Bath have Quartz vanity tops. (2) water heaters, Milgard Windows, Separate Bedroom and Bath great for rental or In-Law Unit. Check with County for possible Granny Unit. Property in unincorporated limited agriculture where horses are allowed.Read more",2019,"'East Avenue Elementary School', 'Bret Harte Middle School', 'Hayward High School'",3
630000,"704 Pinedale Ct,", Hayward,CA,94544,3,2,"1,220",1938,Single Family,None,"4,721 sqft",$516,"Centrally located charming home on quiet street. 704 pinedale court is a 3 bedroom (possible 4th), 2 bath single-family home. Private gated front patio area, recent interior paint, updated carpeting, nice layout with large bedrooms, storage shed in the back, and extra living space in the converted garage. Tons of potential, close to freeways, shopping, and dining.Read more",1958,"'East Avenue Elementary School', 'Bret Harte Middle School', 'Hayward High School'",3
649900,"1819 Hill Ave,", Hayward,CA,94541,2,1,921,1960,Single Family,None,"4,451 sqft",$706,"Open HouseSun, Mar 82:00 PM - 5:00 PM{""@type"":""Event"",""@context"":""http://schema.org"",""startDate"":""2020-03-08T14:00:00"",""endDate"":""2020-03-08T17:00:00"",""name"":""Open House - 2:00 PM - 5:00 PM"",""description"":""Open House"",""url"":""https://www.zillow.com/homedetails/1819-Hill-Ave-Hayward-CA-94541/24966286_zpid/"",""location"":{""@type"":""Place"",""@context"":""http://schema.org"",""name"":""1819 Hill Ave"",""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1819 Hill Ave"",""postalCode"":""94541"",""addressLocality"":""Hayward"",""addressRegion"":""CA""}},""image"":""https://maps.googleapis.com/maps/api/staticmap?center=37.679052,-122.065102&zoom=17&size=550x413&maptype=satellite&key=AIzaSyB27zV3MDy6oKhOscB5M44-CVmbisA-7zA&&signature=LMEfxnm1dRWNDdRsyb-x2fYGgIA="",""offers"":{""@type"":""Offer"",""price"":649900,""priceCurrency"":""USD"",""availability"":""http://schema.org/InStock"",""url"":""https://www.zillow.com/homedetails/1819-Hill-Ave-Hayward-CA-94541/24966286_zpid/""},""performer"":""Golden State Realty & Mortgage""}",1961,"'Fairview Elementary School', 'Bret Harte Middle School', 'Hayward High School'",3
1200000,"24499 Machado Ct,", Hayward,CA,94541,4,3,"2,752",1986,Single Family,$43/month,0.98 acres,$436,"DOGS, GOATS, ALPACAS, OH MY! HUGE ALMOST AN ACRE with OVER HALF ACRE CHAIN LINK FENCED IN YARD/PASTURE. Giant dog house and a new walk in chicken coop/green house. The house is great too. Near the Castro Valley border, this custom executive home has many amenities: open design with vaulted ceiling; antique brick fireplace and patio; pantry; spacious bedrooms; walk in closet; oak moldings throughout; built in oak office; workshop; redwood deck; view of east bay.Read more",1986,"'Fairview Elementary School', 'Bret Harte Middle School', 'Hayward High School'",3
799000,"22805 Filbert St,", Hayward,CA,94541,3,4,"1,915",2016,Townhouse,$222/month,"7,570 sqft",$417,"Completed in 2016, this gorgeous end unit Townhome is luxurious living at its best! Spacious bright open living space w/ tile floors & Berber carpet throughout, custom window coverings & high ceilings. Gourmet kitchen has granite slab counters, large island, stainless steel appliances & soft-close cabinets. Indoor laundry w/ walk-in pantry. Master suite features a recessed ceiling, two large windows overlooking the mountains, upgraded bathroom w/ dual vanities, slab counters & spacious shower. A junior ensuite completes with a tub/shower combo. Ground floor bedroom w/ a fullsize bathroom, 2 car garage w/ epoxy floor, wiring for electric car & tons of storage. Dual zone heating/AC, tankless water heater, custom TV cabinets & many upgrades. Located right in the heart of the Bay Area for convenient commuting to Silicon Valley, SF and steps to BART/bus lines. Community includes a communal park w/ family friendly playground, picnic area, and beautiful walking paths. Come see & Fall In Love!Read more",None,"'Burbank Elementary School', 'Winton Middle School', 'Hayward High School'",3
255000,"1469 Salamanca Ave # 129,", Hayward,CA,94544,3,2,"1,508",1994,Mobile / Manufactured,None,None,$169,"Beautiful 3bed/2ba 1994 Skyline Model.Living room has carpet, ceiling fan & lights. Nice laminate floor. Refrigerator, dishwasher, stove, oven, skylight & garbage disposal. Guest bed has ceiling light & carpet. Guest bath has tub & shower. Cozy and bright kitchen. Large dining area and good size living room. Community pool and hot tub. Laundry area. Space rent $939.69 per month.Read more",None,"'Palma Ceia Elementary School', 'Anthony W. Ochoa Middle School', 'Mount Eden High School'",3
710000,"125 Burbank St,", Hayward,CA,94541,3,3,"1,651",2010,Condo,$225/month,None,$430,"A rare opportunity to own this gorgeous townhouse styled condo in the East Bay city of Hayward. It is conveniently located right off the San Mateo-Hayward Bridge & within walking distance to BART, Amtrak, with easy access to Hwys 880/580/238. Built in 2010, this home is light & bright, loaded with custom upgrades including 9' ceiling at all level, wall paint & window screens. Pet-friendly waterproof upgraded carpet throughout the living room, staircases & on 3rd level are perfect for your daily activities. You will fall in love with the gourmet kitchen with premium cabinetry, modern appliances, and an over-sized breakfast nook with extra storage are perfect for food preparation and serving. The eye-catching granite kitchen countertops with pendant lights & modern backsplash throughout made the kitchen looks stunning. This house is facing the Cannery Park, walk to schools, shopping, dining, theater, Hayward downtown, and close to Alameda County offices.Read more",2010,"'Burbank Elementary School', 'Winton Middle School', 'Hayward High School'",3
1898000,"99 Dunfirth Dr,", Hayward,CA,94542,5,5,"4,678",2018,Single Family,$190/month,"8,385 sqft",$406,None,None,"'Palomares Elementary School', 'Canyon Middle School', 'Castro Valley High School'",3
619000,"614 Atherton Pl,", Hayward,CA,94541,3,3,"1,224",1997,Townhouse,$273/month,840 sqft,$506,"This 1224 square foot townhouse home has 3 bedrooms and 3.0 bathrooms. It is located at 614 Atherton Pl Hayward, California.Read more",1997,"'East Avenue Elementary School', 'Bret Harte Middle School', 'Hayward High School'",3
850000,"3880 Arbutus Ct,", Hayward,CA,94542,3,3,"1,762",1960,Single Family,None,0.89 acres,$482,"Open HousesSat, Mar 71:00 PM - 4:00 PM{""@type"":""Event"",""@context"":""http://schema.org"",""startDate"":""2020-03-07T13:00:00"",""endDate"":""2020-03-07T16:00:00"",""name"":""Open House - 1:00 PM - 4:00 PM"",""description"":""Open House"",""url"":""https://www.zillow.com/homedetails/3880-Arbutus-Ct-Hayward-CA-94542/24970260_zpid/"",""location"":{""@type"":""Place"",""@context"":""http://schema.org"",""name"":""3880 Arbutus Ct"",""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3880 Arbutus Ct"",""postalCode"":""94542"",""addressLocality"":""Hayward"",""addressRegion"":""CA""}},""image"":""https://photos.zillowstatic.com/p_h/ISnisovumptsd31000000000.jpg"",""offers"":{""@type"":""Offer"",""price"":850000,""priceCurrency"":""USD"",""availability"":""http://schema.org/InStock"",""url"":""https://www.zillow.com/homedetails/3880-Arbutus-Ct-Hayward-CA-94542/24970260_zpid/""},""performer"":""Keller Williams Realty""}Sun, Mar 81:00 PM - 4:00 PM{""@type"":""Event"",""@context"":""http://schema.org"",""startDate"":""2020-03-08T13:00:00"",""endDate"":""2020-03-08T16:00:00"",""name"":""Open House - 1:00 PM - 4:00 PM"",""description"":""Open House"",""url"":""https://www.zillow.com/homedetails/3880-Arbutus-Ct-Hayward-CA-94542/24970260_zpid/"",""location"":{""@type"":""Place"",""@context"":""http://schema.org"",""name"":""3880 Arbutus Ct"",""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3880 Arbutus Ct"",""postalCode"":""94542"",""addressLocality"":""Hayward"",""addressRegion"":""CA""}},""image"":""https://photos.zillowstatic.com/p_h/ISnisovumptsd31000000000.jpg"",""offers"":{""@type"":""Offer"",""price"":850000,""priceCurrency"":""USD"",""availability"":""http://schema.org/InStock"",""url"":""https://www.zillow.com/homedetails/3880-Arbutus-Ct-Hayward-CA-94542/24970260_zpid/""},""performer"":""Keller Williams Realty""}",1961,"'Stonebrae Elementary School', 'Bret Harte Middle School', 'Hayward High School'",3
485000,"2413 Sebastopol Ln APT 1,", Hayward,CA,94542,2,2,"1,028",1984,Condo,$398/month,None,$472,"What I love about this homeThis Condo sits next to Cal State East Bay. A perfect location for students, professors, avid outdoor goers, commuters, you name it. This 2 bedroom 1.5 bath home sits on the first level of the complex with an attached single car garage. Overlooking the pool, you can enjoy your evenings in your shaded patio or retreat to the extended master bedroom to your very own study.Read more",1984,"'Stonebrae Elementary School', 'Bret Harte Middle School', 'Hayward High School'",3
665000,"25997 Regal Ave,", Hayward,CA,94544,4,2,"1,795",1952,Single Family,None,"5,035 sqft",$370,"Great Opportunity in Desireable Neighborhood . Large Updated Home Features 4 Bedrooms, 2 Remodeled Bathrooms, Updated Kitchen with Quartz Counter Tops, Newer Cabinets, Tile Floor. Good Size Family Room, sliding door takes you to a Nice Backyard with Lemon Trees and New Lawn /Sprinkler System. No Back Neighbors. Hardwood Floors in Living, Dining and Hallway. Recessed Lighting in Living, Dining, Family & Master Bedroom. Tile Floor / Marble Floor in Bathrooms. Newer Carpets in all Bedrooms, Freshly Interior Painted. Central Heating, Newer Ceiling Fans in Dining & Family Rooms. Newer Copper Plumbing. Double Pane Windows. Newer Roof. Conveniently Located Near School, Parks, Shopping, Transportation, BART Station. Easy Access and Nearby to CA-92, I-880. Open House Sat 3/7 & Sun 3/8Read more",1953,"'Schafer Park Elementary School', 'Martin Luther King, Jr. Middle School', 'Tennyson High School'",3
738888,"26949 Patrick Ave,", Hayward,CA,94544,4,2,"1,492",1960,Single Family,None,"5,061 sqft",$495,"Gorgeous East facing 3 bedroom, a den, 2 bath with 1,492 sqft of well appointed living space on a 5,060 sq.ft lot has just been meticulously updated. This freshly painted bright home offers a great floor plan that included a formal living room with fire place, dining room. The kitchen remodeled with beautiful island granite countertops. This home also features spacious kitchen, new flooring, new furnace, new water heater, newly installed energy efficient LED lights, crown molding, double pane windows throughout. You will love the spectacular permitted sun room, which is not included into the original square footage of the house. This is a well-maintained home located just a minutes away from South Hayward BART Station, shopping center, parks, schools and ease access to 880 and 92 San Mateo Bridge. THIS IS A MUST SEE!!Read more",1961,"'Eldridge Elementary School', 'Martin Luther King, Jr. Middle School', 'Tennyson High School'",3
659000,"27625 Orlando Ave,", Hayward,CA,94545,3,2,"1,500",1955,Single Family,None,"6,298 sqft",$439,"Fantastic Opportunity with Prime Location Near Palma Ceia Park. Ideal Chance to Put in the Updates to Make This House Your Home! It's a Clean Slate with Endless Possibilities. Large 6,300 Square Foot Lot with HUGE Avocado Tree Producing Tons of Delicious Fruit. New Fence in Backyard, Dual Pane Windows and Nicely Maintained Front Yard. Absolutely Ideal Location Near Schools, Parks, Freeway Access, BART, Shopping, Restaurants, Library and Much More!Read more",1956,"'Palma Ceia Elementary School', 'Anthony W. Ochoa Middle School', 'Mount Eden High School'",3
599000,"580 Sequoia Rd,", Hayward,CA,94541,3,1,"1,025",1951,Single Family,None,"5,039 sqft",$584,"Well kept single level home in great location. Spacious living room with fireplace, kitchen with stainless fridge and Miele 5-burner gas cooktop. Recently upgraded flooring, lighting and fresh paint. Other improvements include newer furnace and vents, water heater, dual pane windows, closet organizers, fence and roof. Imagine how you will use the large enclosed patio built with permits. Professionally landscaped front and back yards. Strategic commute location near freeway, San Mateo Bridge and Chabot College. If you enjoy great restaurants, shopping and entertainment the City of Hayward is a great place to call home! OPEN SAT. and SUN. March 7 and 8 from 1-4 p.m.Read more",1951,"'Longwood Elementary School', 'Anthony W. Ochoa Middle School', 'Mount Eden High School'",3
595000,"650 Kingsford Way,", Hayward,CA,94541,3,3,"1,381",2003,Townhouse,$298/month,"1,285 sqft",$431,"RENT NO MORE! The Grand Terrace complex is centrally located! Great for commuters! Your chance to own this beautiful 3 bedrooms 3 baths, two car Tandem garage! There are two master suites with their own bathrooms! If it was not for a job transfer, the owner loves their home! This Townhome has all the modern amenities and it is close to great restaurants, coffee shops, library, movies to name a few! Don't miss the opportunity to own at this great price! HOA has recently painted the exterior! MUST SEE!Read more",2003,"'Burbank Elementary School', 'Winton Middle School', 'Hayward High School'",3
688000,"2127 Oak Creek Pl,", Hayward,CA,94541,3,3,"1,598",1972,Townhouse,$423/month,975 sqft,$431,"MUST SEE this beautiful Fairview Townhouse with spacious 3 bedrooms, 2.5 baths, 2 balconies and offers enjoyment of tranquility and wildlife surroundings. Tucked away and nestled above an oak tree is your oasis to come home to. Then wake up to the sounds of birds chirping, deers, rabbits and turkeys. Townhouse backs into nature and commuters dream location. Minutes away from downtown, shops, restaurants, freeway access, Bart stations and MORE! Thank you for showing.Read more",1974,"'East Avenue Elementary School', 'Bret Harte Middle School', 'Hayward High School'",3
1790000,"2177 Occidental Rd,", Hayward,CA,94545,4,3,"4,079",1953,Single Family,None,0.64 acres,$439,"Spacious property conveniently located in the heart of the San Francisco Bay Area complete with custom-built mid-century modern home, bonus cabana room and beautifully landscaped Japanese garden with koi pond. Original home was built for Japanese nursery business owner with many well thought out designs and material (solid wood paneling, shoji screens, exposed wood beams, custom wood crafted master closets). High ceilings and large glass sliding doors throughout the home with the intention to showcase the sculptured garden. Second owner added grand entrance and new spacious kitchen with large island. The cabana room in the back has its own bathroom and can flexibly used for large social gatherings or as a separate guest house. Attached to the cabana is large shop area with wall to wall storage and workbench. Long car port large enough for 6 cars. House has been newly painted with new water heater and furnace installed. You will walk away thinking about the garden!Read more",1978,"'Eden Gardens Elementary School', 'Anthony W. Ochoa Middle School', 'Mount Eden High School'",3
835999,"1421 Poppy Ln,", Hayward,CA,94545,3,3,"1,625",2017,Single Family,$227/month,"2,378 sqft",$514,"You're going to fall in love with this nearly new home with over $50k in builder upgrades and fully owned solar system! Elegant gourmet kitchen with ample soft close cabinets, Caesarstone counter tops, counter to ceiling tile back splash, stainless steel appliances and large island with breakfast bar. Beautiful hardwood floors in main living area. Dimable recessed lighting. Premium window coverings. Upgraded carpet and pad. Two zone heat and air conditioning. Large master suite with walk-in closet and private balcony. Stunning marble floor and two separate sinks in master bath. Upstairs laundry. Upgraded stair banisters. Spacious private yard with raised planter beds and a shed. There's just too much to list! Don't miss this great opportunity!Read more",None,"'Eden Gardens Elementary School', 'Anthony W. Ochoa Middle School', 'Mount Eden High School'",3
312000,"29281 Whalebone Way,", Hayward,CA,94544,3,2,"1,767",2005,Mobile / Manufactured,None,None,$177,"NEARLY NEW HOME READY FOR YOU. LIVING ROOM WITH FIREPLACE, WALL TO WALL CARPETING. LARGE MASTER BEDROOM. HOME HAS AN APPEARANCE HAVE NOT HAVING BEEN LIVED IN. DEN IS OFF THE LIVING ROOMRead more",None,"'Palma Ceia Elementary School', 'Anthony W. Ochoa Middle School', 'Mount Eden High School'",3
696745,"24877 Broadmore Ave,", Hayward,CA,94544,4,2,"1,446",1958,Single Family,None,"5,850 sqft",None,"24877 Broadmore Ave, Hayward, CA is a single family home that contains 1,446 sq ft and was built in 1958. It contains 4 bedrooms and 2 bathrooms. This home last sold for $190,000 in January 2019. The Zestimate for this house is $696,745, which has increased by $5,991 in the last 30 days. The Rent Zestimate for this home is $3,200/mo, which has increased by $181/mo in the last 30 days. Read more",1959,"'Park Elementary School', 'Winton Middle School', 'Mount Eden High School'",3
1788000,"132 Dunfirth Ct,", Hayward,CA,94542,5,5,"3,965",2018,Single Family,$180/month,"9,300 sqft",$451,None,None,"'Palomares Elementary School', 'Canyon Middle School', 'Castro Valley High School'",3
681700,"998 Sueirro St,", Hayward,CA,94541,4,3,"1,408",1950,Single Family,None,"6,499 sqft",None,"What a great opportunity for a large or extended family or an investor in a central Hayward location. The main house is approx. 1040 square feet, 3 bedrooms, 2 full baths. There is also an attached 368 sf studio which is about to receive its final permit. The studio is all new. Both baths in the main house have been nicely updated. Hardwood floors, stone counters in the kitchen, fireplace. Fridge, washer and dryer stay. Two car attached garage as well as off-street parking. 10' by 13' storage shed in the backyard. Fenced area currently used for owner's dogs. Live in the house, rent the studio for $1400-$1600. Or rent out the main house, too, for $3000 or so. Convenient to stores and commute routes. Priced for a quick sale.Read more",1950,"'Longwood Elementary School', 'Anthony W. Ochoa Middle School', 'Mount Eden High School'",3
1688000,"782 Georgia Ave,", Sunnyvale,CA,94085,3,3,"1,555",1953,Single Family,None,"6,115 sqft","$1,086","Newly Extended & Fully Renovated Modern Home on Tree-lined Street in Center of Silicon Valley. One story 3 bedrooms 3 bath w. Two Master Suits. Everything New: Roof, Window, Furnace, AC, Water Heater, Incoming and Drainage Pipes, Electrical Wires, Kitchen, Bath, Engineering wood Floor, Recess Lights, Stucco/Painting, Too Many to List. Bright Living Room w. Afternoon Sunlight, Spacious & Open Family Room Leading to Backyard w. Morning Sunshine. Kitchen w. Quartz Counter Top and Island, Elegant White Cabinets, SST Appliances. Modern Bathrooms w. Dual Sinks. New Landscaping. Centrally Located w. Easy Commute to Many Large Companies, Walking Distance to School and Park.Read more",1953,"'Bishop Elementary School', 'Columbia Middle School', 'Fremont High School'",3
1098888,"360 Angel Ave,", Sunnyvale,CA,94086,3,1,904,1932,Single Family,None,"5,980 sqft","$1,216","Great Opportunity with this Darling 1930's Spanish style home with detached permitted studio! Located in the sought after Heritage District too. Spacious home, featuring Cherry & bamboo flooring, a fireplace in living room, for that cozy feel, partial dual pane windows and a long driveway for ease of parking, Close to downtown Sunnyvale. Convenient to Caltrain, Google, Apple, Linkedin & Moffett Park. Come take a look soon!Read more",1932,"'Bishop Elementary School', 'Columbia Middle School', 'Fremont High School'",3
1798000,"1108 Silverlake Dr,", Sunnyvale,CA,94089,4,4,"2,420",1959,Single Family,None,"6,930 sqft",$743,"Located across the street from Lakewood Park, this 4 bd/4 ba home has been extensively remodeled to exude style, function, and indoor-outdoor versatility. Tasteful details bring casual sophistication to the interiors, while luxurious upgrades provide up-to-the-minute convenience. Anchoring the open-concept floor plan, the glamorous island kitchen creates the perfect culinary getaway. All gathering areas flow into the backyard, where residents can unwind on the large lawn or entertain on the vast veranda. Private retreats include a ground-level guest suite and a sensational master suite complete with luxury bath, designer closet, and a large patio with fire-pit. Also enjoy drought-tolerant landscaping, state-of-the-art water filtration, an attached garage with EV wiring, gated side parking, and much more. Residents are next door to an array of outdoor amenities while situated near fine schools, Light Rail, freeways, top Silicon Valley companies, and Mercado Shopping Center.Read more",2011,"'Lakewood Elementary School', 'Columbia Middle School', 'Fremont High School'",3
1888000,"1413 Knowlton Dr,", Sunnyvale,CA,94087,4,2,"1,768",1961,Single Family,None,"7,975 sqft","$1,068","This is a classic ranch style home built by Brown and Kaufman in one of the most desirable neighborhoods of Sunnyvale, Serra Park. Here youll find the most distinguished Sunnyvale schools West Valley Elementary, Cupertino Middle and Homestead High. The inviting exterior has a curved driveway, covered porch area with brick accent and attached two car garage. Inside youll find a nicely laid out floor plan, well appointed bedrooms, a living room and separate family room with access to the spacious backyard. The original kitchen has an open dining area with iconic indoor brick barbeque grill, with a fireplace on the opposite side in the living room. The hardwood floors have just been refinished and the interior is newly painted. The master suite has double closets and a sliding door to the backyard. Walk to Serra Park with tennis courts, playground and recreation area. Short walk to amenities like Zanottos Market, Walgreens and Starbucks. Convenient commute access to 85 and 280.Read more",1961,"'West Valley Elementary School', 'Cupertino Middle School', 'Homestead High School'",3
1635000,"455 Ives Ter,", Sunnyvale,CA,94087,3,3,"1,985",1981,Townhouse,$490/month,"2,060 sqft",$824,"Open HousesSat, Mar 71:30 PM - 4:30 PM{""@type"":""Event"",""@context"":""http://schema.org"",""startDate"":""2020-03-07T13:30:00"",""endDate"":""2020-03-07T16:30:00"",""name"":""Open House - 1:30 PM - 4:30 PM"",""description"":""Open House"",""url"":""https://www.zillow.com/homedetails/455-Ives-Ter-Sunnyvale-CA-94087/19547910_zpid/"",""location"":{""@type"":""Place"",""@context"":""http://schema.org"",""name"":""455 Ives Ter"",""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""455 Ives Ter"",""postalCode"":""94087"",""addressLocality"":""Sunnyvale"",""addressRegion"":""CA""}},""image"":""https://photos.zillowstatic.com/p_h/ISznkfjtqd0w260000000000.jpg"",""offers"":{""@type"":""Offer"",""price"":1635000,""priceCurrency"":""USD"",""availability"":""http://schema.org/InStock"",""url"":""https://www.zillow.com/homedetails/455-Ives-Ter-Sunnyvale-CA-94087/19547910_zpid/""},""performer"":""Compass""}",1982,"'Ellis Elementary School', 'Sunnyvale Middle School', 'Fremont High School'",3
588888,"999 W Evelyn Ter APT 65,", Sunnyvale,CA,94086,1,1,822,1976,Condo,$440/month,None,$716,"One of the Best Values in Sunnyvale!!! Fabulous opportunity for first-time home buyers or investors, just a step away from Downtown Sunnyvale and all the important tech companies (Apple is just around the corner). The property has been partially remodeled: new kitchen, new LED recessed lighting, new refrigerator, new bathroom counter top. Engineered Hardwood Maple Floor throughout this large 1 BR/1 BA adds elegance and a modern look to the interior. The new kitchen features white cabinets with grey quartz counter top. Washer & Dryer are inside the unit. This condo offers a quiet environment; you can relax on the large outdoor patio after a busy day, or start your weekend there with an unhurried breakfast or brunch. You will love to live here. Location, location, location!!! Don't miss out!!!Read more",1976,"'Ellis Elementary School', 'Sunnyvale Middle School', 'Fremont High School'",3
109000,"1225 Vienna Dr SPC 662,", Sunnyvale,CA,94089,2,2,"1,440",1975,Mobile / Manufactured,"$2,200/month",None,$76,None,2018,"'George Mayne Elementary School', 'Marian A. Peterson Middle School', 'Adrian Wilcox High School'",3
